"","County_UD","% Persons with a disability aged 0-14","% Persons with a disability aged 15 - 44","% Persons with a disability aged 25 - 44","% Persons with a disability aged 45 - 64","% Persons with a disability aged 65 Plus"
"502","Cavan",3.7,3.7,7.4,18.5,66.7
"503","Cavan",0,3.4,31,27.6,37.9
"504","Cavan",0,4.2,25,25,45.8
"505","Cavan",5.9,0,29.4,35.3,29.4
"506","Cavan",9.5,0,42.9,33.3,14.3
"507","Cavan",3.4,6.8,6.8,20.3,62.7
"508","Cavan",15.6,0,21.9,25,37.5
"509","Cavan",20.8,4.2,12.5,33.3,29.2
"510","Cavan",11.8,5.9,0,47.1,35.3
"511","Cavan",31.6,15.8,42.1,5.3,5.3
"512","Cavan",4.8,9.5,33.3,19,33.3
"513","Cavan",0,0,15.4,23.1,61.5
"514","Cavan",21.4,0,28.6,25,25
"515","Cavan",12,12,4,36,36
"516","Cavan",15.2,9.1,6.1,36.4,33.3
"517","Cavan",3,3,18.2,48.5,27.3
"518","Cavan",10,0,23.3,23.3,43.3
"519","Cavan",12.5,6.3,18.8,25,37.5
